17:21:01.624 [main] INFO  testCasess.Demo - Header of main page verified
17:21:01.675 [main] INFO  resources.Base - By.xpath: //strong[contains(text(),'Partial Link Test')] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:05.967 [main] INFO  resources.Base - By.xpath: //a[contains(@title,'Automation Practice Table')]//strong[contains(text(),'Link Test')] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:10.979 [main] INFO  resources.Base - By.xpath: //input[contains(@name,'firstname')] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:13.165 [main] INFO  resources.Base - By.xpath: //input[contains(@name,'lastname')] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:15.297 [main] INFO  resources.Base - By.xpath: //input[@value='Male'] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:16.433 [main] INFO  resources.Base - By.xpath: //input[@value='1'] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:17.568 [main] INFO  resources.Base - By.xpath: //input[@id='datepicker'] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:19.721 [main] INFO  resources.Base - By.xpath: //input[@value='Automation Tester'] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:20.829 [main] INFO  resources.Base - By.xpath: //input[@id='photo'] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:28.158 [main] INFO  resources.Base - By.xpath: //a[contains(text(),'Test File to Download')] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:29.453 [main] INFO  resources.Base - By.xpath: //input[@value='Selenium Webdriver'] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:30.582 [main] INFO  resources.Base - By.xpath: //select[@id='continents'] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:31.756 [main] INFO  resources.Base - By.xpath: //select[@id='selenium_commands'] rado? - true; Ieskoma 0 kartu, laiko intervalas 1s
17:21:32.915 [main] INFO  testCasess.Demo - Name verified successfully
17:21:32.945 [main] INFO  testCasess.Demo - Last name verified successfully
17:21:32.979 [main] INFO  testCasess.Demo - Gender radio button selected successfully
17:21:33.012 [main] INFO  testCasess.Demo - Date entered successfully
17:21:33.045 [main] INFO  testCasess.Demo - Profession checkbox selected successfully
17:21:33.072 [main] INFO  testCasess.Demo - Picture uploaded successfully
17:21:33.074 [main] INFO  testCasess.Demo - File downloaded successfully
17:21:33.110 [main] INFO  testCasess.Demo - Automation tool checkbox selected successfully
17:21:33.209 [main] INFO  testCasess.Demo - Continents dropdown selected successfully
17:21:33.348 [main] INFO  testCasess.Demo - Selenium commands dropdown selected successfully
